Slope of Cl = 2.1844 * pi
         NACA 2212
	320 vortex panels
  AoA      Cl      Cm c/4
_______  _______   _______
-0.2618   -1.6885   0.2985   
-0.2443   -1.5707   0.2895   
-0.2269   -1.4525   0.2803   
-0.2094   -1.3338   0.2711   
-0.1920   -1.2147   0.2617   
-0.1745   -1.0952   0.2523   
-0.1571   -0.9754   0.2428   
-0.1396   -0.8553   0.2333   
-0.1222   -0.7349   0.2237   
-0.1047   -0.6143   0.2141   
-0.0873   -0.4936   0.2045   
-0.0698   -0.3726   0.1949   
-0.0524   -0.2516   0.1853   
-0.0349   -0.1305   0.1757   
-0.0175   -0.0093   0.1661   
 0.0000    0.1119   0.1566   
 0.0175    0.2330   0.1471   
 0.0349    0.3540   0.1377   
 0.0524    0.4750   0.1283   
 0.0698    0.5958   0.1191   
 0.0873    0.7164   0.1099   
 0.1047    0.8368   0.1009   
 0.1222    0.9570   0.0919   
 0.1396    1.0768   0.0831   
 0.1571    1.1964   0.0745   
 0.1745    1.3155   0.0660   
 0.1920    1.4343   0.0576   
 0.2094    1.5526   0.0494   
 0.2269    1.6705   0.0415   
 0.2443    1.7878   0.0337   
 0.2618    1.9046   0.0261   
